candidate_id,source_id,pdf_id,page,measurement_type,measurement_value,measurement_unit,normalized_value_nM,raw_text_snippet,source_location,extraction_method,extraction_confidence,extraction_notes
pdf_cand_00001,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,7,LOD,10.0,pM,0.01,"imation of LODs, the best arms ratio was found for both 6DNMs via titration assays (see Supplementary Materials, Figures S2 and S3, Table S5). All of the DNM detection experiments were conducted based on these ratios. According to the results, the 6DNM’s HPIV LOD is 10 pM after 1 h and 5 pM after 3 h. The 6DNM’s RSV LOD is 12 pM after 1 h and 3 pM after 3 h (Figure 8). Figure 8. Estimated limit of detection for the synthetic analyte by 6DNMs. (A) HPIV and RSV 6DNMs after 1 h of incubation; (B) HPIV and RSV 6DNMs after 3 h of i",PDF page 7,pymupdf_text_regex,low,"Generic LOD candidate; manually verify target, sensor, and condition before final use."
pdf_cand_00002,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,7,LOD,12.0,pM,0.012,"NMs via titration assays (see Supplementary Materials, Figures S2 and S3, Table S5). All of the DNM detection experiments were conducted based on these ratios. According to the results, the 6DNM’s HPIV LOD is 10 pM after 1 h and 5 pM after 3 h. The 6DNM’s RSV LOD is 12 pM after 1 h and 3 pM after 3 h (Figure 8). Figure 8. Estimated limit of detection for the synthetic analyte by 6DNMs. (A) HPIV and RSV 6DNMs after 1 h of incubation; (B) HPIV and RSV 6DNMs after 3 h of incubation. The blue color corresponds to the HPIV 6DNM res",PDF page 7,pymupdf_text_regex,low,"Generic LOD candidate; manually verify target, sensor, and condition before final use."
pdf_cand_00001,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,7,LOD,10.0,pM,0.01,"fore the estimation of LODs, the best arms ratio was found for both 6DNMs via titration assays (see Supplementary Materials, Figures S2 and S3, Table S5). All of the DNM detection experiments were conducted based on these ratios. According to the results, the 6DNM’s HPIV LOD is 10 pM after 1 h and 5 pM after 3 h. The 6DNM’s RSV LOD is 12 pM after 1 h and 3 pM after 3 h (Figure 8). Figure 8. Estimated limit of detection for the synthetic analyte by 6DNMs. (A) HPIV and RSV 6DNMs after 1 h of incubation; (B) HPIV and RSV 6DNMs after 3 h of incubation. The blue color corresponds to the HPIV 6DNM result; the green color correspo",PDF page 7,pymupdf_text_regex,low,Paired LOD candidate for HPIV 6DNM 1 h; manually verify sensor architecture and target type.
pdf_cand_00002,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,7,LOD,5.0,pM,0.005,"fore the estimation of LODs, the best arms ratio was found for both 6DNMs via titration assays (see Supplementary Materials, Figures S2 and S3, Table S5). All of the DNM detection experiments were conducted based on these ratios. According to the results, the 6DNM’s HPIV LOD is 10 pM after 1 h and 5 pM after 3 h. The 6DNM’s RSV LOD is 12 pM after 1 h and 3 pM after 3 h (Figure 8). Figure 8. Estimated limit of detection for the synthetic analyte by 6DNMs. (A) HPIV and RSV 6DNMs after 1 h of incubation; (B) HPIV and RSV 6DNMs after 3 h of incubation. The blue color corresponds to the HPIV 6DNM result; the green color correspo",PDF page 7,pymupdf_text_regex,low,Paired LOD candidate for HPIV 6DNM 3 h; manually verify sensor architecture and target type.
pdf_cand_00003,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,7,LOD,12.0,pM,0.012,"fore the estimation of LODs, the best arms ratio was found for both 6DNMs via titration assays (see Supplementary Materials, Figures S2 and S3, Table S5). All of the DNM detection experiments were conducted based on these ratios. According to the results, the 6DNM’s HPIV LOD is 10 pM after 1 h and 5 pM after 3 h. The 6DNM’s RSV LOD is 12 pM after 1 h and 3 pM after 3 h (Figure 8). Figure 8. Estimated limit of detection for the synthetic analyte by 6DNMs. (A) HPIV and RSV 6DNMs after 1 h of incubation; (B) HPIV and RSV 6DNMs after 3 h of incubation. The blue color corresponds to the HPIV 6DNM result; the green color correspo",PDF page 7,pymupdf_text_regex,low,Paired LOD candidate for RSV 6DNM 1 h; manually verify sensor architecture and target type.
pdf_cand_00004,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,7,LOD,3.0,pM,0.003,"fore the estimation of LODs, the best arms ratio was found for both 6DNMs via titration assays (see Supplementary Materials, Figures S2 and S3, Table S5). All of the DNM detection experiments were conducted based on these ratios. According to the results, the 6DNM’s HPIV LOD is 10 pM after 1 h and 5 pM after 3 h. The 6DNM’s RSV LOD is 12 pM after 1 h and 3 pM after 3 h (Figure 8). Figure 8. Estimated limit of detection for the synthetic analyte by 6DNMs. (A) HPIV and RSV 6DNMs after 1 h of incubation; (B) HPIV and RSV 6DNMs after 3 h of incubation. The blue color corresponds to the HPIV 6DNM result; the green color correspo",PDF page 7,pymupdf_text_regex,low,Paired LOD candidate for RSV 6DNM 3 h; manually verify sensor architecture and target type.
pdf_cand_00001,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,8,LOD,109.0,pM,0.109,"tion results (Figure 8), it is suggested that the developed 6DNMs could perform amplification-free detection of total viral ssRNA isolated from viral particles. Under identical conditions, the 4DNMs demonstrated comparatively lower sensitivi- ties: their HPIV detection limits were 109 pM after 1 h and 43 pM after 3 h of incubation, while their RSVA detection limits were approximately 51 pM and 17 pM, respectively (Figure S4). These results indicate that 4DNMs are approximately 10-fold less sensitive than their 6DNM counterparts. Consequently,",PDF page 8,pymupdf_text_regex,low,"Generic LOD candidate; manually verify target, sensor, and condition before final use."
pdf_cand_00002,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,8,LOD,51.0,pM,0.051,"on-free detection of total viral ssRNA isolated from viral particles. Under identical conditions, the 4DNMs demonstrated comparatively lower sensitivi- ties: their HPIV detection limits were 109 pM after 1 h and 43 pM after 3 h of incubation, while their RSVA detection limits were approximately 51 pM and 17 pM, respectively (Figure S4). These results indicate that 4DNMs are approximately 10-fold less sensitive than their 6DNM counterparts. Consequently, all subsequent experiments with clinical samples were conducted exclusively using the 6DNMs due to thei",PDF page 8,pymupdf_text_regex,low,"Generic LOD candidate; manually verify target, sensor, and condition before final use."
pdf_cand_00003,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,8,LOD,109.0,pM,0.109,"), it is suggested that the developed 6DNMs could perform amplification-free detection of total viral ssRNA isolated from viral particles. Under identical conditions, the 4DNMs demonstrated comparatively lower sensitivi- ties: their HPIV detection limits were 109 pM after 1 h and 43 pM after 3 h of incubation, while their RSVA detection limits were approximately 51 pM and 17 pM, respectively (Figure S4). These results indicate that 4DNMs are approximately 10-fold less sensitive than their 6DNM counterparts. Consequently, all subsequent experiments with clinical samples were conducted exclusively u",PDF page 8,pymupdf_text_regex,low,"Generic LOD candidate; manually verify target, sensor, and condition before final use."
pdf_cand_00001,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,8,LOD,109.0,pM,0.109,". Sci. 2025, 26, 3652 8 of 16 Based on the obtained limits of detection results (Figure 8), it is suggested that the developed 6DNMs could perform amplification-free detection of total viral ssRNA isolated from viral particles. Under identical conditions, the 4DNMs demonstrated comparatively lower sensitivi- ties: their HPIV detection limits were 109 pM after 1 h and 43 pM after 3 h of incubation, while their RSVA detection limits were approximately 51 pM and 17 pM, respectively (Figure S4). These results indicate that 4DNMs are approximately 10-fold less sensitive than their 6DNM counterparts. Consequently, all subsequent experiments with clinical samples were conducted exclusively using the 6DNMs due to their superior",PDF page 8,pymupdf_text_regex,low,Paired 4DNM LOD candidate for HPIV 4DNM 1 h; manually verify approximate values.
pdf_cand_00002,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,8,LOD,43.0,pM,0.043,". Sci. 2025, 26, 3652 8 of 16 Based on the obtained limits of detection results (Figure 8), it is suggested that the developed 6DNMs could perform amplification-free detection of total viral ssRNA isolated from viral particles. Under identical conditions, the 4DNMs demonstrated comparatively lower sensitivi- ties: their HPIV detection limits were 109 pM after 1 h and 43 pM after 3 h of incubation, while their RSVA detection limits were approximately 51 pM and 17 pM, respectively (Figure S4). These results indicate that 4DNMs are approximately 10-fold less sensitive than their 6DNM counterparts. Consequently, all subsequent experiments with clinical samples were conducted exclusively using the 6DNMs due to their superior",PDF page 8,pymupdf_text_regex,low,Paired 4DNM LOD candidate for HPIV 4DNM 3 h; manually verify approximate values.
pdf_cand_00003,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,8,LOD,51.0,pM,0.051,". Sci. 2025, 26, 3652 8 of 16 Based on the obtained limits of detection results (Figure 8), it is suggested that the developed 6DNMs could perform amplification-free detection of total viral ssRNA isolated from viral particles. Under identical conditions, the 4DNMs demonstrated comparatively lower sensitivi- ties: their HPIV detection limits were 109 pM after 1 h and 43 pM after 3 h of incubation, while their RSVA detection limits were approximately 51 pM and 17 pM, respectively (Figure S4). These results indicate that 4DNMs are approximately 10-fold less sensitive than their 6DNM counterparts. Consequently, all subsequent experiments with clinical samples were conducted exclusively using the 6DNMs due to their superior",PDF page 8,pymupdf_text_regex,low,Paired 4DNM LOD candidate for RSVA 4DNM 1 h; manually verify approximate values.
pdf_cand_00004,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,8,LOD,17.0,pM,0.017,". Sci. 2025, 26, 3652 8 of 16 Based on the obtained limits of detection results (Figure 8), it is suggested that the developed 6DNMs could perform amplification-free detection of total viral ssRNA isolated from viral particles. Under identical conditions, the 4DNMs demonstrated comparatively lower sensitivi- ties: their HPIV detection limits were 109 pM after 1 h and 43 pM after 3 h of incubation, while their RSVA detection limits were approximately 51 pM and 17 pM, respectively (Figure S4). These results indicate that 4DNMs are approximately 10-fold less sensitive than their 6DNM counterparts. Consequently, all subsequent experiments with clinical samples were conducted exclusively using the 6DNMs due to their superior",PDF page 8,pymupdf_text_regex,low,Paired 4DNM LOD candidate for RSVA 4DNM 3 h; manually verify approximate values.
pdf_cand_00001,paper_solyanikova_2025_viral_rna_dnm,solyanikova_2025_multicomponent_dna_nanomachines_viral_rna,14,LOD,15.0,m,15000000000.0,"ration producing a fluorescence signal exceeding the threshold (mean background + 3σ), with triplicate experimental measurements at each concentration. Raw data for measuring the detection limit can be found in the Supplementary Materials (Tables S6–S10). The limit of detection for the binary MB-DNSs was calculated after 15 min of sample incubation at room temperature. The test tubes contained different analyte (HPIV_an; RSV_an) concentrations: 0 nM, 5 nM, 10 nM, 15 nM, and 20 nM. The negative control tube that contained two MB-DNS arms (f-arm (HPIV_f1; RSV_f1) 1000 nM and m-arm (",PDF page 14,pymupdf_text_regex,low,"Generic LOD candidate; manually verify target, sensor, and condition before final use."
